INFO | Function: connect_wallet | 02/19/2022 00:00:03: Checking if needs to connect wallet..
INFO | Function: continue_fighting | 02/19/2022 00:06:50: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:06:50: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/19/2022 00:06:50: Bot (SPACE2):  [Refresh] Calling refresh heroes position function..
INFO | Function: connect_wallet | 02/19/2022 00:06:54: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:06:54: Checking if needs to play game..
INFO | Function: play_game | 02/19/2022 00:06:58: Bot (Principal):  Play game button clicked..
INFO | Function: send_ships_to_fight | 02/19/2022 00:07:08: Bot (Principal):  [Work] Calling send ships to fight function..
INFO | Function: go_to_ships | 02/19/2022 00:07:14: Bot (Principal):  Going to ships menu..
INFO | Function: remove_ships_from_fight | 02/19/2022 00:08:10: Bot (Principal):  Ships were removed from fight!
INFO | Function: send_ships_to_fight | 02/19/2022 00:09:14: Bot (Principal):  Ships were sending to fight!
INFO | Function: fight_boss | 02/19/2022 00:09:19: Bot (Principal):  Fight boss game mode clicked..
INFO | Function: confirm_button | 02/19/2022 00:09:22: Bot (Principal):  Confirm buttom clicked..
INFO | Function: login_metamask | 02/19/2022 00:09:25: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:09:31: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:09:32: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:09:32: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/19/2022 00:09:32: Bot (Principal):  [Refresh] Calling refresh heroes position function..
INFO | Function: connect_wallet | 02/19/2022 00:09:35: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:09:35: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:09:35: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:09:42: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:09:43: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:09:43: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:09:47: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:09:47: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:09:47: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:09:55: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:09:56: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:09:56: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:10:00: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:10:00: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:10:00: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:10:06: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:10:06: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:10:06: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:10:10: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:10:10: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:10:10: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:10:17: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:10:17: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:10:17: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:10:21: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:10:21: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:10:21: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:10:28: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:10:30: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:10:30: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/19/2022 00:10:30: Bot (SPACE2):  [Refresh] Calling refresh heroes position function..
INFO | Function: connect_wallet | 02/19/2022 00:10:34: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:10:34: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:10:34: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:10:41: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:10:42: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:10:42: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/19/2022 00:10:43: Bot (Principal):  [Refresh] Calling refresh heroes position function..
INFO | Function: connect_wallet | 02/19/2022 00:10:45: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:10:46: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:10:46: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:10:53: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:10:53: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:10:53: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:10:57: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:10:57: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:10:57: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:11:03: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:11:03: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:11:04: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:11:06: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:11:07: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:11:07: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:11:14: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:11:14: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:11:15: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:11:18: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:11:18: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:11:18: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:11:26: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:11:27: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:11:27: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:11:31: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:11:31: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:11:31: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:11:38: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:11:38: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:11:38: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:11:41: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:11:42: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:11:42: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:11:49: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:11:49: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:11:49: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:11:52: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:11:52: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:11:53: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:11:59: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:11:59: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:12:00: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:12:03: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:12:04: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:12:04: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:12:11: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:12:13: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:12:13: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:12:17: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:12:17: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:12:17: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:12:24: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:12:26: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:12:26: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:12:29: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:12:29: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:12:29: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:12:36: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:12:36: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:12:36: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:12:39: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:12:39: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:12:40: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:12:46: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:12:46: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:12:47: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:12:50: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:12:50: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:12:51: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:12:57: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:12:57: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:12:57: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:13:00: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:13:00: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:13:00: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:13:07: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:13:07: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:13:08: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:13:11: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:13:11: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:13:11: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:13:18: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:13:20: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:13:20: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:13:23: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:13:23: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:13:23: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:13:30: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:13:31: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:13:31: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:13:35: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:13:35: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:13:35: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:13:42: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:13:42: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:13:42: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:13:46: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:13:46: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:13:46: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:13:53: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:13:53: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: send_ships_to_fight | 02/19/2022 00:13:53: Bot (SPACE2):  [Work] Calling send ships to fight function..
INFO | Function: go_to_ships | 02/19/2022 00:13:59: Bot (SPACE2):  Going to ships menu..
INFO | Function: remove_ships_from_fight | 02/19/2022 00:14:14: Bot (SPACE2):  Ships were removed from fight!
INFO | Function: send_ships_to_fight | 02/19/2022 00:17:52: Bot (SPACE2):  Ships were sending to fight!
INFO | Function: fight_boss | 02/19/2022 00:17:56: Bot (SPACE2):  Fight boss game mode clicked..
INFO | Function: skip_error_on_game | 02/19/2022 00:18:00: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/19/2022 00:18:00: Bot (SPACE2):  [Refresh] Calling refresh heroes position function..
INFO | Function: send_ships_to_fight | 02/19/2022 00:18:00: Bot (SPACE2):  [Work] Calling send ships to fight function..
INFO | Function: go_to_ships | 02/19/2022 00:18:06: Bot (SPACE2):  Going to ships menu..
INFO | Function: remove_ships_from_fight | 02/19/2022 00:18:21: Bot (SPACE2):  Ships were removed from fight!
INFO | Function: send_ships_to_fight | 02/19/2022 00:19:11: Bot (SPACE2):  Ships were sending to fight!
INFO | Function: fight_boss | 02/19/2022 00:19:16: Bot (SPACE2):  Fight boss game mode clicked..
INFO | Function: confirm_button | 02/19/2022 00:19:19: Bot (SPACE2):  Confirm buttom clicked..
INFO | Function: connect_wallet | 02/19/2022 00:19:26: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:19:26: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:19:26: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:19:33: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:19:33: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:19:34: Checking if game has any erros or crash..
INFO | Function: refresh_game | 02/19/2022 00:19:34: Bot (Principal):  [Refresh] Calling refresh heroes position function..
INFO | Function: send_ships_to_fight | 02/19/2022 00:19:34: Bot (Principal):  [Work] Calling send ships to fight function..
INFO | Function: go_to_ships | 02/19/2022 00:19:40: Bot (Principal):  Going to ships menu..
INFO | Function: send_ships_to_fight | 02/19/2022 00:20:39: Bot (Principal):  Ships were sending to fight!
INFO | Function: fight_boss | 02/19/2022 00:20:44: Bot (Principal):  Fight boss game mode clicked..
INFO | Function: connect_wallet | 02/19/2022 00:20:50: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:20:50: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:20:50: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:20:57: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:20:59: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:20:59: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:21:03: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:21:03: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:21:03: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:21:09: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:21:09: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:21:10: Checking if game has any erros or crash..
INFO | Function: confirm_button | 02/19/2022 00:21:12: Bot (Principal):  Confirm buttom clicked..
INFO | Function: connect_wallet | 02/19/2022 00:21:16: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:21:16: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:21:16: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:21:23: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:21:23: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:21:23: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:21:26: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:21:26: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:21:26: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:21:33: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:21:34: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:21:35: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:21:38: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:21:38: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:21:38: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:21:45: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:21:47: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:21:47: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:21:50: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:21:50: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:21:50: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:21:57: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:21:57: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:21:57: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:22:00: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:22:00: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:22:01: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:22:07: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:22:07: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:22:07: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:22:11: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:22:11: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:22:11: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:22:18: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:22:20: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:22:20: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:22:23: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:22:23: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:22:24: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:22:30: Bot (SPACE2):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:22:30: Bot (SPACE2):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:22:30: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:22:34: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:22:34: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:22:34: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:22:41: Bot (Principal):  Checking if is there any new map..
INFO | Function: continue_fighting | 02/19/2022 00:22:41: Bot (Principal):  Checking if needs to send ships to fight again..
INFO | Function: skip_error_on_game | 02/19/2022 00:22:42: Checking if game has any erros or crash..
INFO | Function: connect_wallet | 02/19/2022 00:22:45: Checking if needs to connect wallet..
INFO | Function: play_game | 02/19/2022 00:22:45: Checking if needs to play game..
INFO | Function: login_metamask | 02/19/2022 00:22:45: Checking if need to login in Metamask..
INFO | Function: new_map | 02/19/2022 00:22:52: Bot (SPACE2):  Checking if is there any new map..
